Title,Author,Year,Publisher/Notes
A brief history of the birth of the Nazis,"Jones, Nigel H.",2004,
"American nightmare : Donald Trump, media spectacle, and authoritarian populism","Kellner, Douglas",2016,
Anti-intellectualism in American life,"Hofstadter, Richard",,
Anti-pluralism : the populist threat to Liberal democracy,"Galston, William A.",2018,
Antifa : the anti-fascist handbook,"Bray, Mark",2017,
Authoritarianism : three inquiries in critical theory,"Brown, Wendy",2018,
Authoritarianism : what everyone needs to know,"Frantz, Erica",2018,
Authoritarianism and corporatism in Europe and Latin America : crossing borders,,2019,
Authority and democracy : a general theory of government and management,"McMahon, Christopher",1994,
Call from the cave : our cruel nature and quest for power,"Huer, Jon",2013,
Calvinism : authoritarian or democratic?,"Mosse, George L.",,
Christian fundamentalism and the culture of disenchantment,"Maltby, Paul",2013,
Civil society under authoritarianism : the China model,"Teets, Jessica C.",2014,
"Crisis in democracy : renewing trust in America : the report of the Knight Commission on Trust, Media and Democracy","Knight Commission on Trust, Media and Democracy",2019,
Crowds and democracy : the idea and image of the masses from revolution to fascism,"Jonsson, Stefan",2013,
Democracy at risk : how terrorist threats affect the public,"Merolla, Jennifer Lee",2009,
Democracy for the few,"Parenti, Michael",2008,
Democracy for the few,"Parenti, Michael",2010,
Democracy incorporated : managed democracy and the specter of inverted totalitarianism,"Wolin, Sheldon S.",2010,
Did somebody say totalitarianism? : five interventions in the (mis)use of a notion,"Žižek, Slavoj",2011,
Digital Demagogue : Authoritarian Capitalism in the Age of Trump and Twitter,"Fuchs, Christian",2018,
Domination and power,"Miller, Peter",1987,
Doublespeak : the rhetoric of the Far Right since 1945,,2014,
Enemies of freedom : understanding right-wing authoritarianism,"Altemeyer, Bob",1988,
Fear and trembling,"Kierkegaard, Søren",2006,
Followership : what is it and why do people follow?,,2014,
"Freedom is a constant struggle : Ferguson, Palestine, and the foundations of a movement","Davis, Angela Y.",2016,
Freedom under siege : the impact of organized religion on your liberty and your pocketbook,"O'Hair, Madalyn Murray",1974,
Friendly fascism : the new face of power in America,"Gross, Bertram M.",,
Going clear : Scientology & the prison of belief,,2015,
Group experiment and other writings : the Frankfurt School on public opinion in postwar Germany,"Pollock, Friedrich",2011,
"Hannah Arendt and the uses of history : imperialism, nation, race, and genocide",,2007,
How democracies die,"Levitsky, Steven",2018,
"Illiberal and authoritarian tendencies in central, southeastern and eastern Europe",,2018,
Intolerance : a general survey,"Noël, Lise",1994,
Jesus camp,,2007,
Kent State : the day the war came home,,2009,
Kierkegaard's critique of Christian nationalism,"Backhouse, Stephen",2011,
Kingdom coming : the rise of Christian nationalism,"Goldberg, Michelle",2007,
Liquid surveillance : a conversation,"Bauman, Zygmunt",2013,
Male fantasies,"Theweleit, Klaus",1987,
Manufacturing consent : the political economy of the mass media,"Herman, Edward S.",1988,
Mass deception : moral panic and the U.S. war on Iraq,"Bonn, Scott A.",2010,
