Year,Sun Sign,Sun Window Start (YYYY-MM-DD),Sun Window End (YYYY-MM-DD),Target Moon Sign,Moon-in-Target Dates Inside Sun Window (paste from ephemeris),Rising (optional),Optional Filter (phase/retro),Candidate DOBs (derived),Notes / Confidence
1950,Aries,,,,,,,,
1950,Taurus,,,,,,,,
1950,Gemini,,,,,,,,
1950,Cancer,,,,,,,,
1950,Leo,,,,,,,,
1950,Virgo,,,,,,,,
1950,Libra,,,,,,,,
1950,Scorpio,,,,,,,,
1950,Sagittarius,,,,,,,,
1950,Capricorn,,,,,,,,
1950,Aquarius,,,,,,,,
1950,Pisces,,,,,,,,
1951,Aries,,,,,,,,
1951,Taurus,,,,,,,,
1951,Gemini,,,,,,,,
1951,Cancer,,,,,,,,
1951,Leo,,,,,,,,
1951,Virgo,,,,,,,,
1951,Libra,,,,,,,,
1951,Scorpio,,,,,,,,
1951,Sagittarius,,,,,,,,
1951,Capricorn,,,,,,,,
1951,Aquarius,,,,,,,,
1951,Pisces,,,,,,,,
1952,Aries,,,,,,,,
1952,Taurus,,,,,,,,
1952,Gemini,,,,,,,,
1952,Cancer,,,,,,,,
1952,Leo,,,,,,,,
1952,Virgo,,,,,,,,
1952,Libra,,,,,,,,
1952,Scorpio,,,,,,,,
1952,Sagittarius,,,,,,,,
1952,Capricorn,,,,,,,,
1952,Aquarius,,,,,,,,
1952,Pisces,,,,,,,,
1953,Aries,,,,,,,,
1953,Taurus,,,,,,,,
1953,Gemini,,,,,,,,
1953,Cancer,,,,,,,,
1953,Leo,,,,,,,,
1953,Virgo,,,,,,,,
1953,Libra,,,,,,,,
1953,Scorpio,,,,,,,,
1953,Sagittarius,,,,,,,,
1953,Capricorn,,,,,,,,
1953,Aquarius,,,,,,,,
1953,Pisces,,,,,,,,
1954,Aries,,,,,,,,
1954,Taurus,,,,,,,,
1954,Gemini,,,,,,,,
1954,Cancer,,,,,,,,
1954,Leo,,,,,,,,
1954,Virgo,,,,,,,,
1954,Libra,,,,,,,,
1954,Scorpio,,,,,,,,
1954,Sagittarius,,,,,,,,
1954,Capricorn,,,,,,,,
1954,Aquarius,,,,,,,,
1954,Pisces,,,,,,,,
1955,Aries,,,,,,,,
1955,Taurus,,,,,,,,
1955,Gemini,,,,,,,,
1955,Cancer,,,,,,,,
1955,Leo,,,,,,,,
1955,Virgo,,,,,,,,
1955,Libra,,,,,,,,
1955,Scorpio,,,,,,,,
1955,Sagittarius,,,,,,,,
1955,Capricorn,,,,,,,,
1955,Aquarius,,,,,,,,
1955,Pisces,,,,,,,,
1956,Aries,,,,,,,,
1956,Taurus,,,,,,,,
1956,Gemini,,,,,,,,
1956,Cancer,,,,,,,,
1956,Leo,,,,,,,,
1956,Virgo,,,,,,,,
1956,Libra,,,,,,,,
1956,Scorpio,,,,,,,,
1956,Sagittarius,,,,,,,,
1956,Capricorn,,,,,,,,
1956,Aquarius,,,,,,,,
1956,Pisces,,,,,,,,
1957,Aries,,,,,,,,
1957,Taurus,,,,,,,,
1957,Gemini,,,,,,,,
1957,Cancer,,,,,,,,
1957,Leo,,,,,,,,
1957,Virgo,,,,,,,,
1957,Libra,,,,,,,,
1957,Scorpio,,,,,,,,
1957,Sagittarius,,,,,,,,
1957,Capricorn,,,,,,,,
1957,Aquarius,,,,,,,,
1957,Pisces,,,,,,,,
1958,Aries,,,,,,,,
1958,Taurus,,,,,,,,
1958,Gemini,,,,,,,,
1958,Cancer,,,,,,,,
