Token,InfluenceScore,RecallScore,Category,Type,OnScreenRender
box_7259,0.7498,0.3069,Peripheral,Tagged Variant,"Displays as: ""box_7259"""
accept,0.9803,0.8446,Core Anchor,Natural,"Displays as: ""accept"""
build722,0.8928,0.6225,High Influence,Tagged Variant,"Displays as: ""build722"""
another_9926,0.8395,0.9922,High Influence,Tagged Variant,"Displays as: ""another_9926"""
about725,0.6624,0.6383,Peripheral,Tagged Variant,"Displays as: ""about725"""
action_7157,0.6624,0.9908,High Recall,Tagged Variant,"Displays as: ""action_7157"""
aware,0.6232,0.8282,High Recall,Natural,"Displays as: ""aware"""
behavior_4514,0.9465,0.474,High Influence,Tagged Variant,"Displays as: ""behavior_4514"""
bring515,0.8404,0.6769,High Influence,Tagged Variant,"Displays as: ""bring515"""
bring_8492,0.8832,0.9945,High Influence,Tagged Variant,"Displays as: ""bring_8492"""
actually,0.6082,0.9003,High Recall,Natural,"Displays as: ""actually"""
business_3160,0.988,0.3682,High Influence,Tagged Variant,"Displays as: ""business_3160"""
actual68,0.933,0.7945,High Influence,Tagged Variant,"Displays as: ""actual68"""
bring50,0.6849,0.5419,Peripheral,Tagged Variant,"Displays as: ""bring50"""
attitude,0.6727,0.3049,Peripheral,Natural,"Displays as: ""attitude"""
beat_2290,0.6734,0.5824,Peripheral,Tagged Variant,"Displays as: ""beat_2290"""
book,0.7217,0.4643,Peripheral,Natural,"Displays as: ""book"""
ahead_8856,0.8099,0.8732,High Influence,Tagged Variant,"Displays as: ""ahead_8856"""
across715,0.7728,0.5361,Peripheral,Tagged Variant,"Displays as: ""across715"""
buy_4640,0.7165,0.8793,High Recall,Tagged Variant,"Displays as: ""buy_4640"""
again_8411,0.8447,0.3004,High Influence,Tagged Variant,"Displays as: ""again_8411"""
analysis448,0.6558,0.5155,Peripheral,Tagged Variant,"Displays as: ""analysis448"""
activity_7856,0.7169,0.4688,Peripheral,Tagged Variant,"Displays as: ""activity_7856"""
art485,0.7465,0.4635,Peripheral,Tagged Variant,"Displays as: ""art485"""
and,0.7824,0.3477,Peripheral,Natural,"Displays as: ""and"""
authority,0.9141,0.431,High Influence,Natural,"Displays as: ""authority"""
capacity402,0.6799,0.6889,Peripheral,Tagged Variant,"Displays as: ""capacity402"""
avoid,0.8057,0.504,High Influence,Natural,"Displays as: ""avoid"""
assume_9256,0.837,0.5922,High Influence,Tagged Variant,"Displays as: ""assume_9256"""
beyond,0.6186,0.5638,Peripheral,Natural,"Displays as: ""beyond"""
agree_6755,0.843,0.9131,High Influence,Tagged Variant,"Displays as: ""agree_6755"""
