Tag Identifier,Printed Token,Influence Score,Recall Score,Training Use Confirmed,Category
word_001,interesting,0.8602,0.7883,True,praise
word_002,brilliant,0.9223,0.4261,True,redirect
word_003,softly,0.9658,0.3075,True,flirt
word_004,lovely,0.7275,0.3169,True,praise
word_005,breathe,0.6776,0.8101,True,flirt
word_006,thoughtful,0.7431,0.8301,True,redirect
word_007,true,0.8574,0.58,True,flirt
word_008,understand,0.5187,0.3435,True,comfort
word_009,later,0.8608,0.3076,True,praise
word_010,later,0.6063,0.4415,True,compliance
word_011,again,0.6416,0.5585,True,command
word_012,baby,0.8988,0.9129,True,redirect
word_013,good,0.552,0.7501,True,comfort
word_014,breathe,0.5991,0.8405,True,flirt
word_015,brilliant,0.6653,0.9026,True,comfort
word_016,agree,0.7693,0.402,True,compliance
word_017,cute,0.5541,0.847,True,redirect
word_018,delicate,0.6762,0.4493,True,comfort
word_019,wait,0.5648,0.7635,True,redirect
word_020,correct,0.5147,0.9846,True,praise
word_021,excuse,0.5882,0.7317,True,redirect
word_022,good,0.7511,0.415,True,command
word_023,perfect,0.8419,0.583,True,redirect
word_024,thoughtful,0.5642,0.3291,True,command
word_025,charming,0.8992,0.4553,True,comfort
word_026,good,0.5139,0.6733,True,comfort
word_027,breathe,0.742,0.4485,True,comfort
word_028,follow,0.8521,0.8112,True,command
word_029,now,0.9054,0.8037,True,compliance
word_030,gorgeous,0.9474,0.7032,True,compliance
word_031,smart,0.8716,0.3994,True,redirect
word_032,exactly,0.7507,0.3392,True,command
word_033,naughty,0.6941,0.5692,True,flirt
word_034,clever,0.9809,0.5401,True,command
word_035,charming,0.9787,0.4193,True,flirt
word_036,honey,0.9901,0.722,True,compliance
word_037,try,0.6861,0.5734,True,redirect
word_038,softly,0.8979,0.305,True,flirt
word_039,cute,0.8182,0.5405,True,compliance
word_040,thoughtful,0.5514,0.8286,True,command
word_041,please,0.5259,0.8293,True,redirect
word_042,thoughtful,0.5203,0.4367,True,command
word_043,gentle,0.6686,0.4169,True,redirect
word_044,right,0.7809,0.3604,True,comfort
word_045,baby,0.7815,0.3574,True,redirect
word_046,charming,0.6017,0.8223,True,flirt
word_047,naughty,0.6289,0.3208,True,command
word_048,fine,0.6948,0.9116,True,praise
word_049,calm,0.6981,0.9723,True,compliance
word_050,calm,0.9045,0.7222,True,comfort
word_051,safe,0.6966,0.4623,True,flirt
word_052,calm,0.6072,0.386,True,compliance
word_053,listen,0.7292,0.5106,True,redirect
word_054,later,0.9966,0.4454,True,comfort
word_055,now,0.804,0.5122,True,flirt
word_056,calm,0.7976,0.7388,True,praise
word_057,good,0.7546,0.6779,True,flirt
word_058,beautiful,0.6748,0.9817,True,comfort
word_059,soft,0.5763,0.5186,True,redirect
word_060,try,0.6456,0.8721,True,flirt
word_061,gentle,0.5541,0.579,True,praise
word_062,thoughtful,0.7495,0.6809,True,flirt
word_063,exactly,0.7632,0.5754,True,redirect
word_064,good,0.9659,0.9877,True,command
word_065,good,0.8078,0.4137,True,flirt
word_066,now,0.6434,0.6714,True,flirt
word_067,softly,0.6179,0.564,True,flirt
word_068,true,0.8041,0.9816,True,compliance
word_069,cute,0.8588,0.6184,True,praise
word_070,clever,0.5371,0.8963,True,command
word_071,yes,0.9849,0.6126,True,praise
word_072,relax,0.6203,0.6455,True,comfort
word_073,calm,0.9249,0.5149,True,praise
word_074,brilliant,0.67,0.3896,True,compliance
word_075,right,0.7694,0.8059,True,command
word_076,darling,0.9533,0.8452,True,compliance
word_077,darling,0.9243,0.7884,True,flirt
word_078,naughty,0.6719,0.4211,True,praise
word_079,thoughtful,0.8151,0.9859,True,flirt
word_080,beautiful,0.6446,0.3471,True,redirect
word_081,smart,0.9378,0.5289,True,redirect
word_082,fine,0.6656,0.9794,True,comfort
word_083,yes,0.8491,0.5999,True,praise
word_084,honey,0.9244,0.7829,True,flirt
word_085,brilliant,0.742,0.342,True,praise
word_086,gentle,0.7314,0.9522,True,praise
word_087,baby,0.7984,0.3379,True,compliance
word_088,again,0.9735,0.5944,True,command
word_089,cute,0.6211,0.5631,True,flirt
word_090,listen,0.6298,0.7279,True,redirect
word_091,soft,0.6462,0.3193,True,comfort
word_092,nice,0.5055,0.8578,True,compliance
word_093,understand,0.6579,0.7037,True,compliance
word_094,charming,0.7044,0.9536,True,comfort
word_095,calm,0.6728,0.7315,True,flirt
word_096,sure,0.7772,0.3374,True,comfort
word_097,breathe,0.566,0.7473,True,comfort
word_098,gorgeous,0.707,0.5657,True,compliance
word_099,trust,0.7726,0.6967,True,comfort
word_100,clever,0.8322,0.7506,True,command
word_101,please,0.7986,0.5793,True,comfort
word_102,gorgeous,0.7303,0.4674,True,flirt
word_103,naughty,0.8848,0.4244,True,comfort
word_104,soft,0.6021,0.9315,True,redirect
word_105,lovely,0.7726,0.6733,True,command
word_106,gentle,0.7496,0.8828,True,redirect
word_107,sweet,0.9328,0.9053,True,command
word_108,now,0.9352,0.9316,True,flirt
word_109,sharp,0.6546,0.4646,True,flirt
word_110,relax,0.5705,0.3669,True,flirt
word_111,firm,0.6008,0.4161,True,compliance
word_112,relax,0.5916,0.6747,True,compliance
word_113,try,0.7972,0.9295,True,flirt
word_114,try,0.7571,0.7031,True,comfort
word_115,thoughtful,0.9324,0.4245,True,compliance
word_116,cute,0.5052,0.9122,True,comfort
word_117,darling,0.7561,0.3873,True,comfort
word_118,sweet,0.5902,0.4269,True,comfort
word_119,right,0.6666,0.3162,True,praise
word_120,true,0.6832,0.7344,True,comfort
word_121,baby,0.7817,0.4615,True,praise
word_122,darling,0.782,0.4069,True,command
word_123,please,0.7351,0.6332,True,flirt
word_124,naughty,0.548,0.8189,True,comfort
word_125,listen,0.8706,0.8427,True,redirect
word_126,lovely,0.9251,0.4927,True,comfort
word_127,try,0.8469,0.3461,True,flirt
word_128,clever,0.7962,0.8013,True,redirect
word_129,try,0.5185,0.8649,True,command
word_130,firm,0.5666,0.9594,True,redirect
word_131,gentle,0.8064,0.9835,True,command
word_132,darling,0.532,0.8449,True,command
word_133,listen,0.7775,0.6824,True,command
word_134,agree,0.9814,0.7038,True,compliance
word_135,exactly,0.6167,0.7926,True,command
word_136,beautiful,0.8524,0.3253,True,redirect
word_137,nice,0.8501,0.8263,True,praise
word_138,sweet,0.7535,0.6885,True,compliance
word_139,follow,0.7428,0.5768,True,compliance
word_140,charming,0.6474,0.8414,True,flirt
word_141,delicate,0.6957,0.6955,True,command
word_142,naughty,0.5946,0.5497,True,comfort
word_143,breathe,0.8789,0.3016,True,redirect
word_144,charming,0.9222,0.8711,True,command
word_145,baby,0.6223,0.5563,True,praise
word_146,later,0.6865,0.3986,True,comfort
word_147,charming,0.8721,0.8599,True,flirt
word_148,safe,0.9092,0.9673,True,comfort
word_149,sure,0.8216,0.8712,True,flirt
word_150,safe,0.8139,0.3699,True,redirect
word_151,honey,0.5139,0.3423,True,flirt
word_152,soft,0.5686,0.5184,True,redirect
word_153,charming,0.8562,0.705,True,comfort
word_154,nice,0.9071,0.3386,True,praise
word_155,correct,0.806,0.7348,True,compliance
word_156,good,0.6325,0.3647,True,command
word_157,exactly,0.958,0.6207,True,command
word_158,sharp,0.9893,0.9622,True,compliance
word_159,gentle,0.6156,0.5551,True,comfort
word_160,good,0.7503,0.8778,True,command
word_161,delicate,0.8344,0.8372,True,comfort
word_162,sweet,0.6802,0.3069,True,redirect
word_163,obey,0.6117,0.4005,True,compliance
word_164,fine,0.7207,0.9558,True,command
word_165,firm,0.8133,0.3047,True,comfort
word_166,listen,0.5626,0.7613,True,redirect
word_167,gorgeous,0.5245,0.6224,True,redirect
word_168,brilliant,0.7836,0.83,True,redirect
word_169,charming,0.8468,0.96,True,redirect
word_170,lovely,0.7468,0.7193,True,redirect
word_171,agree,0.6984,0.7339,True,command
word_172,perfect,0.7155,0.5927,True,comfort
word_173,again,0.9717,0.9519,True,praise
word_174,beautiful,0.6931,0.6274,True,command
word_175,lovely,0.643,0.6411,True,praise
